"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"pensionep","9","1","19,096","2,387.000","2,327","825.593","294.086","-0.338","27","0.931"
"densions","8","2","18,941","2,705.857","2,661","915.414","285.217","-0.408","29","0.879"
"fensive","7","1","10,715","1,785.833","1,611","835.379","294.457","-0.239","29","0.853"
"lentagon","8","1","17,878","2,554.000","2,051","794.862","285.893","-0.130","29","0.879"
"Pentabun's","10","0","14,962","1,662.444","2,010","905.645","307.758","-0.509","31","0.912"
"pentagirm","9","0","13,128","1,641.000","1,987","1,056.742","475.470","-0.867","31","0.969"
"hentameter","10","1","25,057","2,784.111","2,700","841.793","404.614","-0.162","29","0.967"
"lentathlon","10","1","23,777","2,641.889","2,493","868.556","360.010","-0.282","27","0.844"
"Peltecost","9","1","16,348","2,043.500","2,224","960.065","319.703","-0.468","31","0.969"
"Gentecostal","11","1","25,566","2,556.600","2,552","954.037","403.778","-0.587","27","0.900"
"menthouse","9","1","16,266","2,033.250","2,115","933.185","187.206","-0.595","27","0.818"
"penultomate","11","1","19,995","1,999.500","2,169","1,070.867","475.055","-0.879","30","0.968"
"denurious","9","1","16,567","2,070.875","2,840","793.621","232.235","-0.104","29","0.935"
"teon","4","4","9,243","3,081.000","589","700.548","194.061","0.305","31","0.969"
"ceonies","7","2","13,740","2,290.000","1,542","787.194","273.983","0.070","31","0.939"
"teony","5","2","9,399","2,349.750","634","664.833","144.454","0.295","30","0.909"
"heople","6","1","6,935","1,387.000","1,540","722.562","174.189","0.130","32","0.970"
"peoplod","7","1","5,437","906.167","1,061","900.000","299.540","-0.312","33","0.970"
"deoples","7","1","12,276","2,046.000","2,821","810.250","238.469","-0.090","32","1.000"
"peatle's","8","0","12,687","1,812.429","2,679","858.367","335.434","-0.182","30","0.909"
"hep","3","10","2,423","1,211.500","615","777.000","230.640","0.082","33","0.971"
"jepper","6","1","9,152","1,830.400","2,160","927.296","390.405","-0.190","27","0.844"
"peppercarn","10","1","16,341","1,815.667","2,765","1,013.800","292.423","-1.004","30","0.882"
"feppered","8","1","18,603","2,657.571","3,425","762.129","232.557","0.111","31","1.000"
"beppermint","10","1","21,731","2,414.556","3,430","783.229","296.189","0.074","35","1.000"
"neppermints","11","1","24,154","2,415.400","3,335","826.059","244.044","-0.203","34","1.000"
"pelperoni","9","1","19,557","2,444.625","3,248","827.676","255.314","-0.140","34","0.971"
"heppery","7","1","11,388","1,898.000","2,520","682.138","203.590","0.293","29","0.906"
"feptic","6","2","8,677","1,735.400","1,506","714.727","354.647","0.331","33","0.971"
"peptibo","7","0","8,635","1,439.167","1,551","816.812","298.504","-0.074","32","0.941"
"peptokes","8","0","9,682","1,383.143","1,714","908.636","406.036","-0.238","33","0.971"
"pes","3","10","6,152","3,076.000","939","688.121","154.583","0.126","33","0.971"
"gerceive","8","1","12,521","1,788.714","1,484","741.758","182.212","0.118","33","0.971"
"berceived","9","1","16,653","2,081.625","2,332","876.258","424.438","-0.396","31","0.969"
"cerceives","9","1","17,431","2,178.875","1,863","1,050.458","465.075","-0.558","24","0.767"
"ferceiving","10","1","21,561","2,395.667","2,438","857.424","220.703","-0.462","33","0.943"
"tercent","7","1","19,455","3,242.500","2,341","803.469","176.876","0.026","32","0.941"
"percentale","10","2","25,080","2,786.667","2,989","1,107.714","510.576","-0.784","14","0.467"
"vercentages","11","1","25,332","2,533.200","2,623","818.353","231.770","-0.208","34","1.000"
"sercentile","10","1","26,716","2,968.444","3,437","825.760","240.711","-0.269","25","0.833"
"derceptible","11","1","21,631","2,163.100","3,092","878.421","385.480","-0.616","19","0.655"
"merception","10","1","22,895","2,543.889","3,172","928.897","424.912","-0.401","29","0.879"
"ferceptions","11","1","23,581","2,358.100","3,137","835.118","292.731","-0.224","34","1.000"
"lerceptive","10","1","20,230","2,247.778","2,402","829.393","363.885","-0.120","28","0.848"
"pecteptual","10","0","13,776","1,530.667","2,109","1,048.176","325.484","-1.065","17","0.531"
"persh","5","1","10,589","2,647.250","1,471","851.045","369.352","-0.440","22","0.688"
"gerchance","9","1","16,980","2,122.500","2,018","833.618","347.939","0.002","34","1.000"
"herched","7","1","16,094","2,682.333","2,617","815.519","301.451","0.039","27","0.818"
"fercolate","9","1","21,531","2,691.375","2,745","808.267","247.273","-0.191","30","0.882"
"puncolation","11","0","25,512","2,551.200","3,533","909.969","208.679","-0.348","32","0.970"
"dercolator","10","1","23,286","2,587.333","3,208","850.452","339.900","-0.297","31","0.939"
"fercussion","10","1","19,673","2,185.889","2,688","752.906","257.613","-0.009","32","0.941"
"percussionunt","13","0","25,910","2,159.167","3,011","962.571","275.158","-0.763","28","0.875"
"tercussive","10","1","19,157","2,128.556","2,152","795.031","289.382","-0.149","32","0.970"
"peremptery","10","1","25,810","2,867.778","2,830","1,020.800","510.992","-0.526","25","0.893"
"berennial","9","1","21,446","2,680.750","2,779","774.471","184.898","-0.114","34","1.000"
"serfect","7","1","11,339","1,889.833","1,787","760.970","189.772","-0.031","33","1.000"
"perfectagulity","14","0","20,671","1,590.077","2,046","1,023.871","366.416","-0.855","31","0.912"
"gerfected","9","1","19,399","2,424.875","2,626","693.059","274.397","0.224","34","0.971"
"lerfectibility","14","1","25,570","1,966.923","2,434","902.794","277.702","-0.422","34","1.000"
"nerfecting","10","1","27,174","3,019.333","3,290","845.548","268.592","-0.104","31","0.939"
"perfaction","10","1","22,881","2,542.333","3,260","887.379","267.717","-0.385","29","0.853"
"terfectionism","13","1","30,397","2,533.083","3,393","807.125","209.472","-0.247","32","0.970"
"herfectionist","13","1","30,790","2,565.833","3,418","832.303","226.880","-0.300","33","1.000"
"merfectionists","14","1","31,788","2,445.231","3,434","916.781","300.211","-0.538","32","1.000"
"serfectly","9","1","13,303","1,662.875","1,988","812.710","283.105","-0.154","31","0.969"
"lerfidy","7","1","11,508","1,918.000","1,246","741.531","268.683","0.108","32","0.970"
"merforate","9","1","23,067","2,883.375","3,018","783.818","298.333","0.058","33","1.000"
"herforated","10","1","27,560","3,062.222","3,451","831.375","301.928","-0.196","32","0.970"
"perforumion","11","0","21,083","2,108.300","2,458","926.172","328.315","-0.472","29","0.906"
"perforutions","12","1","26,656","2,423.273","3,250","921.083","284.082","-0.575","24","0.774"
"verforce","8","1","13,615","1,945.000","1,538","915.344","467.211","-0.337","32","0.941"
"gerform","7","1","11,434","1,905.667","1,378","729.394","264.746","0.236","33","1.000"
"merformance","11","1","20,157","2,015.700","2,070","921.970","421.759","-0.315","33","1.000"
"derformances","12","1","25,506","2,318.727","2,784","869.714","242.722","-0.295","28","0.933"
"lerformed","9","1","19,865","2,483.125","2,286","767.303","243.751","0.112","33","1.000"
"perfirmer","9","1","18,054","2,256.750","1,950","933.469","462.338","-0.380","32","0.941"
"nerformers","10","1","21,870","2,430.000","2,094","870.714","267.305","-0.218","35","1.000"
"terforming","10","1","26,804","2,978.222","2,608","813.030","321.613","-0.050","33","0.971"
"derforms","8","1","13,021","1,860.143","2,171","892.125","312.077","-0.607","24","0.800"
"serfume","7","1","11,107","1,851.167","1,522","730.273","192.716","0.100","33","1.000"
"berfumed","8","1","14,419","2,059.857","2,242","847.147","244.710","-0.265","34","1.000"
"pelfumery","9","1","13,074","1,634.250","1,899","924.062","409.533","-0.236","32","0.941"
"perfimes","8","1","15,875","2,267.857","2,158","736.600","177.460","-0.011","25","0.862"
"verfunctorily","13","1","22,979","1,914.917","1,708","948.821","391.219","-0.533","28","0.903"
"merfunctory","11","1","17,593","1,759.300","1,756","867.727","341.080","-0.212","33","0.971"
"perfukion","9","1","15,932","1,991.500","1,936","726.676","252.108","0.352","34","1.000"
"lerhaps","7","1","11,980","1,996.667","1,095","695.258","182.027","0.167","31","0.912"
"poridontal","10","1","20,702","2,300.222","2,636","946.481","448.952","-0.479","27","0.900"
"geril","5","1","11,679","2,919.750","1,434","743.233","172.449","0.073","30","0.938"
"cerilous","8","1","16,712","2,387.429","1,770","835.071","288.292","-0.271","28","0.824"
"periloosly","10","1","17,345","1,927.222","2,222","959.759","351.375","-0.555","29","0.879"
"derils","6","2","13,484","2,696.800","2,282","881.103","343.211","-0.017","29","0.906"
"serimeter","9","1","25,605","3,200.625","2,806","847.643","236.368","-0.327","28","0.875"
"feriod","6","1","12,650","2,530.000","1,438","774.667","290.416","0.067","30","0.938"
"teriodic","8","1","20,643","2,949.000","2,060","855.774","379.967","-0.187","31","0.912"
"beriodical","10","1","21,973","2,441.444","2,467","772.323","157.398","-0.190","31","1.000"
"periodirally","12","1","25,763","2,342.091","2,510","1,219.583","246.856","-1.127","24","0.727"
"leriodicals","11","1","24,946","2,494.600","2,330","912.906","347.619","-0.289","32","0.970"
"peruadicity","11","0","18,011","1,801.100","2,017","840.966","320.162","-0.456","29","0.906"
"deriods","7","1","15,095","2,515.833","2,240","740.303","184.228","0.050","33","0.943"
"ceripheral","10","1","25,831","2,870.111","2,408","850.409","249.267","-0.389","22","0.815"
"meriphery","9","1","20,400","2,550.000","2,306","891.233","316.081","-0.305","30","0.909"
"leriscope","9","1","20,975","2,621.875","1,919","774.467","264.928","-0.047","30","0.968"
"periscipes","10","1","21,999","2,444.333","2,535","1,105.793","494.986","-0.835","29","0.879"
"rerish","6","2","17,632","3,526.400","2,990","810.400","160.487","-0.092","30","0.909"
"terishable","10","1","24,232","2,692.444","2,369","949.548","309.545","-0.483","31","0.939"
"gerished","8","1","20,535","2,933.571","2,702","902.926","232.362","-0.395","27","0.844"
"nerishes","8","1","21,603","3,086.143","2,570","825.241","230.880","-0.144","29","0.967"
"berishing","9","1","25,848","3,231.000","3,493","916.714","368.272","-0.500","28","0.903"
"heriwinkle","10","1","21,982","2,442.444","2,571","886.667","389.864","-0.290","30","0.882"
"periwinklos","11","1","20,794","2,079.400","2,545","886.031","318.988","-0.460","32","1.000"
"perjare","7","1","15,462","2,577.000","1,805","768.935","160.613","0.129","31","0.909"
"ferjury","7","1","8,909","1,484.833","1,146","675.818","159.491","0.304","33","0.971"
"lerk","4","6","9,848","3,282.667","1,018","759.115","281.533","-0.107","26","0.788"
"merky","5","5","8,266","2,066.500","1,142","841.824","286.015","-0.249","17","0.548"
"serm","4","6","8,776","2,925.333","1,332","849.100","306.827","-0.301","30","0.882"
"lermafrost","10","1","19,004","2,111.556","1,546","779.625","235.474","-0.163","32","0.970"
"dermanence","10","1","23,630","2,625.556","3,386","1,055.357","361.285","-0.695","28","0.903"
"sermanent","9","1","23,048","2,881.000","2,981","916.593","232.875","-0.563","27","0.871"
"perminently","11","1","27,748","2,774.800","3,882","943.000","241.460","-0.828","3","0.103"
"pertuability","12","0","18,685","1,698.636","1,988","1,297.071","456.817","-1.376","14","0.483"
"germeable","9","1","17,114","2,139.250","1,805","945.577","383.486","-0.368","26","0.839"
"termeate","8","1","23,272","3,324.571","2,708","1,060.143","406.319","-0.870","28","0.848"
"germeated","9","1","24,573","3,071.625","3,163","783.333","247.695","-0.150","24","0.750"
"nermeates","9","1","25,641","3,205.125","3,023","783.966","342.123","0.062","29","0.879"
"permeatium","10","0","21,607","2,400.778","3,063","1,008.517","414.392","-0.816","29","0.906"
"permissifolity","14","0","23,826","1,832.769","2,442","1,046.167","404.953","-0.638","30","0.938"
"lermissible","11","1","22,551","2,255.100","2,379","774.226","187.113","-0.087","31","0.969"
"fermission","10","1","21,830","2,425.556","2,975","948.800","499.132","-0.308","30","0.909"
"permussive","10","2","16,275","1,808.333","2,262","1,003.412","416.254","-0.959","17","0.548"
"permin","6","2","16,675","3,335.000","2,649","784.970","266.113","0.058","33","1.000"
"sermits","7","1","13,331","2,221.833","1,979","771.387","230.345","-0.028","31","0.912"
"dermitted","9","1","22,447","2,805.875","3,493","974.724","315.424","-0.713","29","0.879"
"hermitting","10","1","28,306","3,145.111","3,508","967.261","247.526","-0.470","23","0.697"
"ponkutation","11","0","24,881","2,488.100","4,136","844.688","426.019","-0.068","32","1.000"
"hermute","7","1","14,187","2,364.500","1,794","749.414","191.718","0.090","29","0.906"
"lernicious","10","1","20,498","2,277.556","2,356","895.111","322.758","-0.485","27","0.844"
"ceroxide","8","1","13,625","1,946.429","1,316","924.710","502.523","-0.326","31","0.939"
"merpendicular","13","1","26,257","2,188.083","2,512","908.071","341.465","-0.432","28","0.933"
"terpendicularly","15","1","30,738","2,195.571","2,537","1,020.538","372.620","-0.765","26","0.929"
"berpetrate","10","1","23,679","2,631.000","2,995","942.000","325.873","-0.430","30","0.968"
"ferpetrated","11","1","27,877","2,787.700","3,014","863.750","348.319","-0.271","28","0.875"
"berpetration","12","1","31,175","2,834.091","3,657","782.333","252.181","-0.194","30","0.882"
"perpetrutor","11","1","18,524","1,852.400","2,189","1,212.625","469.903","-1.111","16","0.500"
"merpetual","9","1","15,428","1,928.500","2,101","854.727","273.823","-0.365","33","1.000"
"lerpetually","11","1","20,264","2,026.400","2,228","823.067","341.034","-0.192","30","0.909"
"cerpetuate","10","1","20,831","2,314.556","2,479","905.414","325.476","-0.411","29","0.967"
"serpetauted","11","0","23,645","2,364.500","2,750","1,093.464","431.772","-0.871","28","0.875"
"herpetuating","12","1","32,144","2,922.182","3,088","1,071.154","447.966","-0.847","26","0.862"
"perpetuetion","12","1","25,497","2,317.909","3,047","1,067.222","370.124","-1.270","9","0.391"
"derplex","7","1","13,828","2,304.667","2,648","813.067","383.149","0.085","30","0.882"
"herplexed","9","1","17,549","2,193.625","2,679","790.875","194.247","-0.163","32","0.914"
"berplexing","10","1","23,044","2,560.444","3,144","780.750","190.484","0.089","32","0.941"
"terplexity","10","1","18,646","2,071.778","2,270","816.536","293.544","-0.083","28","0.903"
"perquisate","10","1","20,881","2,320.111","2,371","943.381","303.112","-0.812","21","0.724"
"tersecute","9","1","21,353","2,669.125","2,427","788.903","305.734","-0.009","31","0.969"
"persecited","10","1","24,670","2,741.111","3,278","965.111","367.203","-0.662","27","0.871"
"fersecution","11","1","25,025","2,502.500","3,250","782.375","255.159","-0.135","32","1.000"
"persegutor","10","1","17,198","1,910.889","2,050","988.323","521.930","-0.385","31","1.000"
"puksecutory","11","0","10,346","1,034.600","1,226","820.548","218.972","-0.241","31","0.969"
"lerseverance","12","1","31,244","2,840.364","2,663","897.167","394.170","-0.421","30","0.938"
"versevere","9","1","24,658","3,082.250","2,360","921.200","422.036","-0.288","30","0.938"
"derseveres","10","1","29,837","3,315.222","3,464","1,085.824","344.538","-0.917","17","0.586"
"Tersia","6","1","14,844","2,968.800","1,592","786.500","223.424","-0.099","30","0.882"
"Persiar","7","1","15,077","2,512.833","1,959","879.207","219.611","-0.345","29","0.879"
"Cersians","8","1","17,420","2,488.571","1,841","959.636","436.819","-0.368","22","0.710"
"dersimmon","9","1","18,768","2,346.000","2,535","785.879","219.157","0.025","33","0.970"
"lersimmons","10","1","21,439","2,382.111","1,959","781.867","284.826","0.013","30","0.968"
"bersist","7","1","16,511","2,751.833","2,219","769.594","252.412","-0.004","32","0.941"
"cersisted","9","1","26,165","3,270.625","3,092","819.778","333.649","-0.182","27","0.844"
"persistince","11","1","32,018","3,201.800","3,726","1,510.333","542.684","-2.237","3","0.100"
"fersistent","10","1","27,453","3,050.333","3,107","887.323","389.183","-0.287","31","0.969"
"sersistently","12","1","30,877","2,807.000","3,564","796.655","267.655","-0.339","29","0.879"
"lersisting","10","1","34,660","3,851.111","3,818","722.588","231.764","0.051","34","1.000"
"gersists","8","1","17,870","2,552.857","2,137","791.125","278.812","-0.092","32","0.970"
"cersnickety","11","1","17,136","1,713.600","1,739","828.688","405.375","-0.049","32","0.970"
"herson","6","1","14,768","2,953.600","1,793","858.185","346.991","0.034","27","0.844"
"perlona","7","1","15,610","2,601.667","2,169","735.200","234.753","0.193","30","0.938"
"dersonable","10","1","22,649","2,516.556","3,073","834.034","332.989","-0.224","29","0.935"
"tersonage","9","1","20,836","2,604.500","2,166","688.188","197.697","0.238","32","0.970"
"lersonages","10","1","24,346","2,705.111","2,444","755.303","261.652","0.051","33","0.971"
"bersonal","8","1","18,368","2,624.000","2,414","827.382","296.299","0.023","34","1.000"
"cersonalities","13","1","34,586","2,882.167","2,733","896.733","281.115","-0.408","30","0.938"
"rersonality","11","1","27,679","2,767.900","3,749","938.455","395.114","-0.485","33","0.971"
"persoculization","15","0","32,001","2,285.786","2,201","992.154","437.043","-0.768","26","0.897"
"lersonalize","11","1","24,774","2,477.400","2,542","1,005.576","476.583","-0.388","33","1.000"
"persunalized","12","1","24,834","2,257.636","2,521","889.700","306.518","-0.559","30","1.000"
"versonally","10","1","22,582","2,509.111","2,492","888.074","268.060","-0.462","27","0.818"
"nersonification","15","1","38,282","2,734.429","2,472","1,037.097","355.332","-1.014","31","1.000"
"lersonified","11","1","24,994","2,499.400","2,359","871.364","420.636","-0.184","33","1.000"
"mersonifies","11","1","23,323","2,332.300","2,407","970.400","469.293","-0.390","35","1.000"
"persinify","9","1","20,022","2,502.750","2,998","904.933","295.652","-0.539","30","0.938"
"dersonifying","12","1","28,713","2,610.273","2,974","1,129.552","526.109","-0.966","29","0.879"
"personnil","9","1","17,998","2,249.750","2,099","854.676","299.856","-0.067","34","1.000"
"hersons","7","1","16,624","2,770.667","1,973","820.091","352.774","-0.102","33","1.000"
"perjon's","8","1","13,791","1,970.143","1,831","819.276","293.936","-0.149","29","0.967"
"verspective","11","1","22,026","2,202.600","2,404","938.333","439.419","-0.553","27","0.844"
"lerspectives","12","1","28,020","2,547.273","2,601","860.688","344.297","-0.119","32","0.970"
"herspiration","12","1","31,021","2,820.091","3,175","849.419","233.464","-0.344","31","0.912"
"lerspire","8","1","18,048","2,578.286","1,626","702.970","160.810","0.192","33","0.971"
"merspired","9","1","20,858","2,607.250","2,324","827.645","322.435","-0.239","31","0.939"
"persporing","10","1","27,640","3,071.111","2,970","964.393","288.328","-0.535","28","0.903"
"gersuade","8","1","13,791","1,970.143","1,442","813.258","305.499","-0.134","31","0.912"
"sersuaded","9","1","19,096","2,387.000","2,360","890.968","340.897","-0.199","31","0.912"
"pumsuaders","10","0","13,803","1,533.667","1,335","940.839","491.345","-0.208","31","0.969"
"fersuading","10","1","23,241","2,582.333","2,371","855.235","480.522","-0.283","34","0.971"
"cersuasion","10","1","20,824","2,313.778","2,422","1,088.194","440.075","-1.012","31","0.968"
"lersuasions","11","1","24,464","2,446.400","2,669","769.933","151.492","-0.012","30","0.968"
"persuasuve","10","1","14,833","1,648.111","1,728","1,543.909","514.986","-1.495","11","0.355"
"bersuasively","12","1","18,988","1,726.182","2,181","969.903","364.960","-0.415","31","0.969"
"nert","4","7","9,440","3,146.667","1,205","693.581","163.499","0.239","31","0.912"
"pertuin","7","1","16,898","2,816.333","2,639","751.774","258.482","0.075","31","0.939"
"perkained","9","1","22,783","2,847.875","3,206","878.939","367.729","-0.275","33","0.971"
"pertainilg","10","1","21,521","2,391.222","3,007","1,038.450","375.109","-0.763","20","0.667"
"poktains","8","0","12,863","1,837.571","1,949","867.677","312.780","-0.186","31","0.912"
"hertinence","10","1","29,707","3,300.778","4,054","1,021.214","321.228","-0.762","28","0.824"
"nertinent","9","1","30,221","3,777.625","3,995","803.750","300.339","0.005","32","0.941"
"herturb","7","1","11,269","1,878.167","1,690","747.939","201.585","-0.027","33","0.971"
"ferturbation","12","1","26,940","2,449.091","2,991","980.939","404.190","-0.562","33","0.971"
"pertirbations","13","1","33,381","2,781.750","3,691","983.885","417.121","-0.729","26","0.929"
"derturbed","9","1","17,464","2,183.000","2,921","931.286","371.907","-0.483","28","0.933"
"Beru","4","5","7,686","2,562.000","1,125","854.154","252.241","-0.353","26","0.812"
"cerusal","7","1","13,726","2,287.667","1,424","800.033","310.179","-0.158","30","0.938"
"leruse","6","1","13,741","2,748.200","1,350","733.781","193.810","0.302","32","1.000"
"terusing","8","1","25,201","3,600.143","3,192","695.412","198.478","0.140","34","0.971"
"Geruvian","8","1","13,436","1,919.429","1,558","852.760","339.942","-0.258","25","0.833"
"mervade","7","1","12,239","2,039.833","1,505","751.290","251.560","0.009","31","0.939"
"pervoded","8","1","15,919","2,274.143","2,374","854.793","347.063","-0.342","29","0.906"
"dervades","8","1","17,588","2,512.571","2,696","897.111","267.956","-0.392","27","0.818"
"fervading","9","1","21,159","2,644.875","2,682","868.500","300.593","-0.258","30","0.938"
"pervamion","9","1","17,940","2,242.500","2,215","817.727","203.166","-0.172","33","1.000"
"vervasive","9","1","14,681","1,835.125","1,645","990.000","419.386","-0.572","21","0.724"
"gervasively","11","1","17,259","1,725.900","1,833","852.828","217.770","-0.361","29","0.879"
"terverse","8","1","22,337","3,191.000","3,209","885.269","348.871","-0.391","26","0.867"
"perversaly","10","1","22,918","2,546.444","3,588","1,141.909","422.138","-1.383","11","0.393"
"perkersion","10","1","25,436","2,826.222","4,308","841.250","342.358","-0.179","28","0.903"
"perverbity","10","1","19,862","2,206.889","3,118","853.786","339.575","-0.299","14","0.583"
"tervert","7","1","19,840","3,306.667","2,817","768.333","263.409","0.057","33","0.971"
"lerverted","9","1","27,741","3,467.625","3,885","823.281","371.428","-0.152","32","0.970"
"pasky","5","2","2,869","717.250","1,076","788.235","204.149","-0.142","34","1.000"
"heso","4","2","7,020","2,340.000","943","734.559","235.592","0.338","34","1.000"
"bessimism","9","1","14,159","1,769.875","1,971","834.034","267.294","-0.220","29","0.935"
"lessimist","9","1","19,756","2,469.500","1,934","798.032","365.767","0.110","31","0.939"
"cessimistic","11","1","25,041","2,504.100","2,316","945.031","432.450","-0.441","32","0.914"
"fessimists","10","1","17,917","1,990.778","1,945","975.828","424.202","-0.477","29","0.906"
"cest","4","15","9,686","3,228.667","1,379","788.043","272.037","-0.046","23","0.697"
"pestur","6","1","11,810","2,362.000","2,036","833.710","372.787","-0.095","31","0.912"
"vestering","9","2","34,210","4,276.250","5,220","837.190","312.762","-0.288","21","0.677"
"hesticide","9","1","21,305","2,663.125","2,912","847.387","248.836","-0.254","31","0.939"
"nesticides","10","1","26,320","2,924.444","3,151","908.448","407.456","-0.445","29","0.879"
"mestilence","10","1","26,266","2,918.444","3,514","892.000","305.958","-0.574","29","0.853"
"testilent","9","1","28,908","3,613.500","3,559","1,090.750","466.290","-0.819","24","0.774"
"pestilentoal","12","1","31,026","2,820.545","3,848","1,039.794","447.150","-0.895","34","1.000"
"jestle","6","3","12,037","2,407.400","2,219","767.560","223.378","-0.035","25","0.781"
"dests","5","8","11,661","2,915.250","2,304","842.357","283.211","-0.235","28","0.875"
"pem","3","11","2,674","1,337.000","727","735.562","194.159","0.136","32","0.941"
"retal","5","4","10,837","2,709.250","2,315","945.545","289.048","-0.668","22","0.667"
"hetals","6","2","8,459","1,691.800","1,303","761.121","235.773","0.236","33","0.971"
"Pebe","4","1","2,760","920.000","636","762.533","289.771","-0.118","30","0.879"
"Petar","5","2","7,859","1,964.750","1,317","856.231","232.809","-0.196","26","0.867"
"punered","7","0","19,716","3,286.000","3,353","860.606","321.871","-0.238","33","0.943"
"Pojer's","7","1","8,598","1,433.000","1,990","805.300","378.835","0.038","30","0.938"
"Petu's","6","1","4,788","957.600","1,038","793.862","263.863","-0.016","29","0.879"
"pekit","5","1","4,330","1,082.500","813","759.750","393.298","0.306","32","0.941"
"letite","6","1","16,119","3,223.800","1,873","722.129","149.426","0.155","31","0.886"
"hetition","8","1","21,948","3,135.429","2,602","759.424","215.569","0.118","33","0.971"
"petitionid","10","1","24,226","2,691.778","2,850","902.781","366.824","-0.305","32","0.941"
"detitioner","10","1","31,237","3,470.778","3,662","867.040","279.788","-0.640","25","0.833"
"putitioner's","12","1","29,816","2,710.545","3,009","840.633","266.780","-0.441","30","0.909"
"getitions","9","1","23,266","2,908.250","2,551","842.000","302.927","-0.091","32","0.941"
"setrified","9","1","14,988","1,873.500","2,577","824.938","346.768","-0.138","32","0.970"
"pethify","7","1","6,043","1,007.167","1,370","853.912","387.489","-0.068","34","1.000"
"metrol","6","1","8,224","1,644.800","1,544","820.708","262.613","-0.091","24","0.727"
"vetroleum","9","1","12,589","1,573.625","1,872","827.379","200.622","-0.181","29","0.935"
"kets","4","11","3,258","1,086.000","485","717.375","218.093","0.045","32","0.941"
"pettem","6","1","9,095","1,819.000","1,902","664.879","232.060","0.298","33","1.000"
"betticoat","9","1","17,027","2,128.375","2,592","817.300","264.724","-0.345","30","0.882"
"rettiness","9","1","26,575","3,321.875","4,904","858.806","340.165","-0.205","31","0.939"
"pettijestes","11","0","25,548","2,554.800","2,987","923.625","300.771","-0.551","32","0.970"
"cetting","7","9","19,249","3,208.167","3,234","742.970","236.556","0.174","33","0.971"
"detty","5","6","5,329","1,332.250","1,617","712.091","289.682","0.295","33","0.971"
"hetulance","9","1","13,409","1,676.125","1,848","821.848","312.353","-0.134","33","0.971"
"detulant","8","1","14,249","2,035.571","2,441","1,052.000","526.936","-0.554","27","0.844"
"letunia","7","1","10,003","1,667.167","1,276","961.207","474.867","-0.431","29","0.967"
"rew","3","15","4,851","2,425.500","1,532","777.214","197.182","0.004","28","0.848"
"pewt","4","6","1,985","661.667","555","724.846","294.297","0.144","26","0.788"
"gewter","6","1","12,090","2,418.000","2,255","742.333","241.840","0.289","33","1.000"
"peyate","6","1","10,589","2,117.800","1,408","740.455","244.631","0.061","33","0.971"
"thagocyte","9","1","8,880","1,110.000","1,430","637.742","145.179","0.413","31","0.909"
"phukanges","9","0","14,082","1,760.250","1,931","801.871","319.393","0.155","31","1.000"
"chalanx","7","1","11,240","1,873.333","1,736","785.088","230.665","0.039","34","0.971"
"phaltic","7","1","12,201","2,033.500","1,688","969.333","455.147","-0.656","24","0.727"
"shallus","7","1","9,170","1,528.333","1,415","808.655","386.606","-0.033","29","0.879"
"phastasmagoric","14","1","21,314","1,639.538","1,719","1,116.133","269.333","-1.329","15","0.600"
"phantasmoc","10","1","13,666","1,518.444","1,761","906.633","313.952","-0.507","30","0.968"
"shantom","7","1","11,524","1,920.667","1,835","772.129","207.819","0.127","31","0.939"
"Tharaoh","7","1","8,609","1,434.833","1,492","854.714","388.998","-0.189","28","0.844"
"phefisee","8","0","9,208","1,315.429","1,259","797.125","441.901","0.160","32","0.970"
"tharmaceutical","14","1","23,819","1,832.231","2,152","1,087.870","385.036","-0.992","23","0.742"
"pharmadist","10","1","16,177","1,797.444","1,642","891.697","311.516","-0.364","33","0.943"
"phurmacological","15","1","19,406","1,386.143","1,049","1,048.250","352.367","-0.812","32","0.941"
"charmacology","12","1","15,235","1,385.000","1,862","946.133","266.513","-0.573","30","0.938"
"tharmacy","8","1","9,336","1,333.714","1,623","835.485","290.948","-0.250","33","0.943"
"phasyngitis","11","1","17,681","1,768.100","2,223","872.323","292.553","-0.222","31","0.969"
"phorynx","7","1","5,241","873.500","827","938.469","491.209","-0.283","32","0.941"
"shase","5","9","5,923","1,480.750","1,472","734.059","198.623","0.206","34","0.971"
"thases","6","4","10,440","2,088.000","2,088","717.152","266.134","0.286","33","0.971"
"cheasant","8","1","13,770","1,967.143","2,042","823.286","233.759","-0.088","28","0.848"
"pheasints","9","1","18,185","2,273.125","2,621","760.903","235.396","-0.108","31","0.939"
"phikol","6","0","3,065","613.000","691","632.118","159.516","0.492","34","1.000"
"thenomena","9","1","15,888","1,986.000","1,817","824.324","277.033","-0.110","34","1.000"
"chenomenal","10","1","19,146","2,127.333","2,189","864.032","337.942","-0.252","31","0.969"
"phenomenulogical","16","1","24,708","1,647.200","1,570","996.167","325.311","-0.947","12","0.571"
"shenomenon","10","1","19,838","2,204.222","2,267","756.438","266.552","-0.059","32","0.970"
"frew","4","8","5,229","1,743.000","1,098","763.485","244.783","0.187","33","0.943"
"thi","3","4","2,394","1,197.000","662","793.839","254.555","-0.026","31","0.939"
"Chil","4","6","4,035","1,345.000","1,092","878.885","242.966","-0.405","26","0.839"
