"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"moesn't","7","1","5,970","995.000","745","798.647","289.975","-0.120","34","1.000"
"daff","4","3","1,169","389.667","342","698.967","203.462","0.287","30","0.882"
"deg","3","11","3,035","1,517.500","1,137","731.419","190.634","0.364","31","0.939"
"dogfatcher","10","1","15,384","1,709.333","1,168","1,038.600","434.582","-0.709","30","0.909"
"pogfight","8","1","4,024","574.857","804","808.909","212.699","-0.185","33","0.943"
"dogned","6","3","8,098","1,619.600","1,383","843.824","398.751","-0.241","34","1.000"
"soggedly","8","1","9,079","1,297.000","1,683","777.038","325.725","-0.101","26","0.812"
"poggone","7","1","9,062","1,510.333","1,487","742.303","306.409","0.093","33","0.971"
"dogty","5","2","1,824","456.000","414","807.212","317.983","0.102","33","0.971"
"poghouse","8","2","8,424","1,203.429","1,288","836.929","304.284","-0.066","28","0.875"
"mogleg","6","1","5,756","1,151.200","1,106","855.812","306.332","-0.322","32","0.969"
"fogma","5","1","2,836","709.000","678","813.529","233.200","-0.067","34","0.971"
"dogmis","6","1","5,285","1,057.000","900","871.806","375.336","-0.329","31","0.939"
"bogmatic","8","1","14,260","2,037.143","2,005","855.333","319.499","-0.123","33","0.943"
"dogmaticil","10","1","16,502","1,833.556","1,987","958.679","410.373","-0.510","28","0.933"
"nogmatism","9","1","15,288","1,911.000","1,893","946.367","412.646","-0.503","30","0.938"
"dogmatoze","9","1","8,918","1,114.750","1,222","918.517","297.629","-0.549","29","0.879"
"gogs","4","11","1,140","380.000","275","736.034","190.257","0.179","29","0.879"
"dor's","5","2","4,538","1,134.500","1,035","683.364","243.088","0.340","33","1.000"
"logtrot","7","1","6,739","1,123.167","893","849.560","267.526","-0.278","25","0.781"
"rogwood","7","1","4,462","743.667","467","802.710","243.771","-0.270","31","0.969"
"moily","5","2","4,290","1,072.500","920","777.000","251.987","0.102","27","0.871"
"doung","5","2","8,038","2,009.500","1,204","754.688","284.235","0.015","32","1.000"
"hoings","6","2","12,631","2,526.200","1,047","749.061","199.961","0.061","33","1.000"
"dolcy","5","2","2,143","535.750","779","792.172","293.224","0.037","29","0.879"
"soldrums","8","1","4,296","613.714","1,065","888.385","351.949","-0.275","26","0.867"
"tove","4","10","3,808","1,269.333","754","733.000","170.221","0.074","32","1.000"
"dolud","5","1","2,824","706.000","860","664.364","179.027","0.342","33","0.971"
"poleful","7","1","7,680","1,280.000","1,470","905.450","336.675","-0.386","20","0.645"
"folt","4","11","2,259","753.000","979","724.185","188.815","0.201","27","0.818"
"doltar","6","1","7,099","1,419.800","1,478","767.758","267.541","0.117","33","0.971"
"vollars","7","2","9,634","1,605.667","2,010","702.147","195.986","0.238","34","1.000"
"gollhouse","9","2","9,666","1,208.250","1,694","854.735","277.596","-0.023","34","0.971"
"pollies","7","2","12,480","2,080.000","2,849","929.400","443.172","-0.236","20","0.606"
"mollop","6","1","6,099","1,219.800","1,823","825.033","313.468","-0.073","30","0.909"
"golls","5","7","3,691","922.750","1,278","811.818","310.688","-0.023","33","0.971"
"tolly","5","11","5,825","1,456.250","1,419","849.652","220.546","-0.304","23","0.697"
"doloreus","8","1","12,268","1,752.571","1,823","759.571","185.675","0.034","28","0.903"
"folphin","7","1","10,504","1,750.667","2,061","795.242","224.908","0.029","33","0.971"
"dolphons","8","1","10,177","1,453.857","1,390","845.406","212.687","-0.206","32","0.941"
"dilt","4","13","3,680","1,226.667","1,327","776.615","262.068","0.046","26","0.812"
"goltish","7","2","10,861","1,810.167","1,844","712.355","187.807","0.176","31","0.939"
